episode,avg_return,max_stage,flag_get,avg_total_reward
960,17.828,1,False,126.0
961,10.857,1,False,657.0
962,6.717,1,False,0
963,-1.447,1,False,-37.0
964,20.907,1,False,-16.0
965,30.723,1,False,-3.667
966,31.962,1,False,196.0
967,16.942,1,False,529.0
968,24.951,1,False,718.0
969,38.577,1,True,62.0
970,53.34,1,False,-9.0
971,63.417,1,False,299.4
972,73.654,1,False,299.2
973,53.095,1,False,374.75
974,65.946,1,False,-58.0
975,49.911,1,False,74.8
976,60.26,1,False,423.667
977,52.998,1,False,487.75
978,53.898,1,False,363.0
979,63.05,1,False,133.333
980,57.16,1,False,90.2
981,65.153,1,False,299.833
982,40.857,1,False,369.75
983,46.054,1,False,347.25
984,30.042,1,False,535.0
985,27.75,1,False,273.0
986,3.304,1,False,0
987,-2.159,1,False,0
988,4.857,1,False,117.0
989,4.189,1,False,136.0
990,-4.359,1,False,0
991,2.848,1,False,104.0
992,-4.138,1,False,0
993,5.905,1,False,-18.0
